id,title,severity,area,description,evidence,fix,owner,due_date
SEC-001,No automated CodeQL/SAST scanning,S1,security,"Code vulnerabilities go undetected before deployment. Static analysis is critical for identifying security issues early in development lifecycle.",No .github/workflows/codeql-analysis.yml file exists,Create and configure CodeQL workflow for JavaScript/TypeScript analysis with automatic PR checks,Platform Squad,2025-11-05
SEC-002,Missing Dependabot configuration,S1,security,"Dependency vulnerabilities not automatically detected or patched. No weekly security update PRs being generated.",No .github/dependabot.yml file exists,Create Dependabot config with weekly schedule and security-only updates enabled,Platform Squad,2025-11-05
SEC-003,GitHub secret scanning not enabled,S1,security,"Secrets may be committed to repository without detection. Increases risk of credential exposure.",Repository settings do not show active secret scanning,Enable GitHub secret scanning in repository Settings → Security (requires admin access),Platform Squad,2025-11-01
SEC-004,Dockerfile runs as root user,S1,security,"Container runs with root privileges creating security vulnerability. Container escape or privilege escalation possible.",apps/web/Dockerfile lines 24-36 do not create non-root user,Add USER directive with non-root user (node) in runtime stage,Platform Squad,2025-11-06
SEC-005,No container image vulnerability scanning,S1,security,"Container images not scanned for CVEs before deployment. Known vulnerabilities may exist in base images or dependencies.",No Trivy or Snyk scanning in CI workflows,Add Trivy container scanning to CI workflow with CRITICAL/HIGH severity gates,Platform Squad,2025-11-08
SEC-006,OpenTelemetry type conflicts,S2,security,"Type safety compromised in observability package. MetricReader version mismatch between OpenTelemetry packages.",packages/observability typecheck fails with version conflict error,Resolve OpenTelemetry package versions to compatible set; document if intentional,Platform Squad,2025-11-15
SEC-007,ESLint configuration missing in compliance package,S2,security,"Code quality issues undetected in compliance package. Linting gate fails.",packages/compliance lint command fails with 'no configuration file' error,Add .eslintrc.cjs or inherit from root eslint config,Platform Squad,2025-11-06
SEC-008,CORS configuration needs production review,S2,security,"CORS origins not explicitly validated for production deployment. Potential for unauthorized cross-origin access.",apps/api/src/app.ts CORS configuration; origins need audit,Review and restrict CORS allowedOrigins to production domains only; remove wildcards,Platform Squad,2025-11-12
SEC-009,API rate limits need production tuning,S2,security,"Rate limiting configured but thresholds not validated under real load. Risk of DDoS or abuse.",Rate limit configuration in apps/api/src/config.ts,Load test and tune rate limit values based on expected traffic; implement per-user limits,Platform Squad,2025-11-20
SEC-010,Placeholder secret validation in production,S3,security,"Production deployment rejects placeholder values but better to catch earlier.",apps/api/src/config.ts validates against placeholder patterns,Document placeholder patterns; add pre-commit hook to warn,Platform Squad,2025-11-30
SEC-011,Debug endpoints need authentication review,S3,security,"Debug/admin endpoints may be accessible without proper authentication. Needs review.",Various debug endpoints in apps/api/src/routes,Audit all debug endpoints; ensure proper authentication and feature flag protection,Platform Squad,2025-11-20
REL-001,Limited circuit breaker implementation,S1,reliability,"OpenAI and Supabase calls lack circuit breaker patterns. Cascading failures during external service outages.",No circuit breaker library in dependencies; calls not wrapped,Implement circuit breaker pattern using opossum library; wrap all external API calls,Platform Squad,2025-11-12
REL-002,Inconsistent retry logic,S2,reliability,"Retry logic present in some areas but not standardized. Transient failures may cause unnecessary errors.",Retry implementations vary across codebase,Create standardized retry utility with exponential backoff; apply consistently to all external calls,Platform Squad,2025-11-15
REL-003,Timeout configuration needs production tuning,S2,reliability,"Timeouts configured but not validated under load. May cause hung requests or premature failures.",Timeout values in various config files,Conduct load testing to establish appropriate timeout values; document rationale,Platform Squad,2025-11-22
